Max Bits,C1 Bits,C2 Bits,FC1 Bits,FC2 Bits,FC3 Bits,Overall,Plane,Car,Bird,Cat,Deer,Dog,Frog,Horse,Ship,Truck
100000,1,1,1,1,1,10.000,0.000,0.000,0.000,0.000,0.000,0.000,100.000,0.000,0.000,0.000
100000,1,1,1,1,2,25.390,49.200,3.300,0.100,0.200,0.000,39.900,74.300,46.400,3.900,36.500
100000,1,1,1,1,3,13.260,0.000,0.000,33.300,0.000,0.000,0.000,0.000,2.600,0.000,96.400
100000,1,1,1,1,4,12.890,9.200,0.000,0.000,0.000,85.200,0.000,0.000,0.000,34.100,0.000
100000,1,1,1,1,5,14.750,1.200,73.700,1.800,0.200,1.000,4.400,10.900,6.300,0.000,47.400
100000,1,1,1,1,6,20.730,0.100,17.300,1.600,14.800,0.500,33.400,67.400,7.000,0.000,63.800
100000,1,1,1,1,7,25.190,28.900,0.400,0.400,49.700,0.500,1.400,51.600,43.100,0.700,75.600
100000,1,1,1,1,8,26.740,18.900,79.100,0.000,67.300,0.100,0.000,54.600,46.900,0.000,0.000
100000,1,1,1,2,1,10.280,2.200,0.000,0.100,0.000,0.000,0.000,0.200,0.000,0.000,99.900
100000,1,1,1,2,2,26.660,24.900,5.400,2.500,2.000,0.200,25.400,70.800,36.400,38.000,61.000
100000,1,1,1,2,3,26.640,13.500,8.900,1.300,0.700,16.700,49.600,41.400,47.800,51.600,35.200
100000,1,1,1,2,4,27.820,18.500,37.100,29.200,2.200,36.200,0.000,48.900,5.900,55.800,44.100
100000,1,1,1,2,5,28.000,0.000,0.600,3.900,35.400,49.300,12.600,41.800,26.700,48.300,62.400
100000,1,1,1,2,6,17.920,10.500,0.000,0.000,0.000,14.200,73.000,43.100,19.300,0.000,18.600
100000,1,1,1,2,7,27.540,53.000,3.600,25.600,69.900,0.300,4.200,54.300,0.200,11.800,52.300
100000,1,1,1,2,8,33.210,16.400,9.900,19.100,4.600,7.700,71.000,59.600,29.500,55.800,58.800
100000,1,1,1,3,1,10.030,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,100.000
100000,1,1,1,3,2,25.910,0.000,4.600,19.200,1.700,13.100,50.500,34.500,17.100,44.300,74.100
100000,1,1,1,3,3,26.360,39.000,10.600,1.500,6.400,6.900,17.400,75.000,36.700,32.700,37.900
100000,1,1,1,3,4,10.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,100.000,0.000,0.000
100000,1,1,1,3,5,34.290,32.800,0.000,40.700,0.000,0.400,59.300,52.000,33.100,53.500,70.900
100000,1,1,1,3,6,37.520,57.400,72.500,17.400,24.400,17.000,55.600,64.000,36.300,2.100,28.300
100000,1,1,1,3,7,31.000,22.100,0.200,5.900,15.500,8.600,61.600,50.300,40.700,58.600,45.100
100000,1,1,1,3,8,22.080,26.400,48.900,87.200,0.000,0.000,9.900,0.000,39.400,0.000,9.800
100000,1,1,1,4,1,10.370,0.000,0.000,0.000,0.000,0.000,0.000,0.000,99.900,3.700,0.000
100000,1,1,1,4,2,23.100,32.000,2.100,6.600,0.100,40.200,0.200,43.400,33.800,14.900,59.800
100000,1,1,1,4,3,26.660,3.500,42.700,37.100,11.000,0.500,66.800,4.700,32.200,64.500,3.700
100000,1,1,1,4,4,27.270,23.700,0.900,20.400,47.600,50.600,2.100,27.800,0.000,25.800,74.600
100000,1,1,1,4,5,34.700,23.200,29.500,6.700,40.900,17.400,26.200,54.900,39.800,53.600,56.100
100000,1,1,1,4,6,31.970,69.700,5.300,41.800,0.000,12.400,49.200,32.200,48.400,17.000,44.700
100000,1,2,1,1,1,19.230,0.000,0.800,0.000,0.200,0.600,0.600,54.000,32.500,83.400,20.200
100000,1,2,1,1,2,20.320,4.700,1.600,0.000,7.000,16.200,10.700,29.600,51.300,11.500,71.600
